,Salário,Idade,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Brasil,Estado,Linguagem Python,Linguagem R,Linguagem SQL
523,7000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Pequena,não,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
524,3500.0,"[25,30]",Cientista de Dados,,não,de 1 a 2 anos,Outras,Mestrado,Outras Engenharias,Tecnologia/Fábrica de Software,1,,1,0,1
525,,"[25,30]",,,,Menos de 1 ano,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,São Paulo (SP),0,0,0
526,,"[18,24]",Analista de Dados,Pequena,não,de 1 a 2 anos,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Alimentício,1,,0,0,1
527,3500.0,"[18,24]",Analista de Dados,Pequena,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,0,1
528,,"[31,40]",,Pequena,sim,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Telecomunicação,1,Minas Gerais (MG),0,0,0
529,3500.0,"[18,24]",Analista de Dados,Média,não,de 1 a 2 anos,Outras,Não tenho graduação formal,,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,0,1
530,,"[31,40]",Analista de BI,Média,não,Mais de 10 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,,1,0,1
531,7000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Grande,não,Não tenho experiência na área de dados,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
532,,"[31,40]",,,,de 4 a 5 anos,Outras,Doutorado ou Phd,Química / Física,,1,São Paulo (SP),0,0,0
533,,"[25,30]",Engenheiro de Dados,Pequena,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,,1,0,0
534,7000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Média,não,Mais de 10 anos,Outras,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),1,São Paulo (SP),0,0,1
535,,"[18,24]",Analista de Dados,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,1,,1,1,0
536,7000.0,"[31,40]",Cientista de Dados,Pequena,não,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Não tenho graduação formal,,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),1,0,1
537,,"[18,24]",,,,Não tenho experiência na área de dados,Outras,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,,1,Minas Gerais (MG),0,0,0
538,5000.0,"[25,30]",Outras,,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,Minas Gerais (MG),0,0,0
539,,"[18,24]",Analista de Dados,Pequena,não,de 1 a 2 anos,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Marketing,1,Minas Gerais (MG),1,1,1
540,5000.0,"[31,40]",,Média,sim,de 2 a 3 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Paraná (PR),0,0,0
541,3500.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Pequena,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
542,,"[31,40]",,,,de 1 a 2 anos,Outras,Mestrado,Outras Engenharias,,1,Santa Catarina (SC),1,0,1
543,,"[18,24]",,,,Menos de 1 ano,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,,1,,0,0,0
544,7000.0,"[31,40]",Analista de BI,Grande,não,de 6 a 10 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),1,Paraná (PR),0,0,0
545,,"[18,24]",,Pequena,sim,Não tenho experiência na área de dados,Outras,Graduação/Bacharelado,Outras Engenharias,Indústria (Manufatura),1,,0,0,0
546,1500.0,"[25,30]",,Pequena,não,de 1 a 2 anos,Estagiário,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Finanças ou Bancos,1,Paraná (PR),1,1,1
