,Salário,Idade,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Brasil,Estado,Linguagem Python,Linguagem R,Linguagem SQL
0,1500.0,"[31,40]",Outras,Pequena,não,Não tenho experiência na área de dados,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Minas Gerais (MG),0,0,0
1,,"[18,24]",Analista de Dados,,não,Menos de 1 ano,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,São Paulo (SP),1,0,1
2,5000.0,"[25,30]",Outras,,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Outras Engenharias,Indústria (Manufatura),1,São Paulo (SP),1,0,0
3,1500.0,"[18,24]",Analista de BI,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,0,1
4,7000.0,"[25,30]",,Pequena,sim,de 4 a 5 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,1,,1,0,1
5,3500.0,"[25,30]",Outras,Média,não,Menos de 1 ano,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Paraná (PR),0,0,0
6,7000.0,"[31,40]",,Pequena,sim,Não tenho experiência na área de dados,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),1,0,1
7,1000.0,"[31,40]",,Pequena,sim,de 2 a 3 anos,Outras,Graduação/Bacharelado,Outras Engenharias,Outras,1,São Paulo (SP),0,0,0
8,,"[25,30]",Desenvolvedor/Engenheiro de Software,Pequena,não,Não tenho experiência na área de dados,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,0,0,0
9,1000.0,"[25,30]",Cientista de Dados,,não,de 2 a 3 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,São Paulo (SP),1,1,0
10,5000.0,"[31,40]",Outras,,não,Não tenho experiência na área de dados,Outras,Pós-graduação,Outras Engenharias,Educação,1,,0,0,0
11,1500.0,"[18,24]",Analista de BI,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),1,1,0
12,14000.0,"[31,40]",,,sim,Mais de 10 anos,Outras,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Indústria (Manufatura),1,Rio de Janeiro (RJ),1,1,1
13,5000.0,"[31,40]",,Pequena,sim,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Outras,1,Minas Gerais (MG),0,1,1
14,3500.0,"[25,30]",Cientista de Dados,Pequena,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,0,0
15,,"[25,30]",,,,Menos de 1 ano,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,Rio de Janeiro (RJ),0,0,0
16,1000.0,"[31,40]",Analista de Dados,Média,não,de 2 a 3 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Varejo,1,São Paulo (SP),1,0,1
17,,"[18,24]",Outras,Média,não,Não tenho experiência na área de dados,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,1,Minas Gerais (MG),0,0,0
18,,"[18,24]",,,,de 1 a 2 anos,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,,1,0,0
19,1500.0,"[25,30]",Outras,Pequena,não,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Outras Engenharias,Educação,1,Espírito Santo (ES),0,0,0
20,,"[18,24]",Cientista de Dados,,não,Não tenho experiência na área de dados,Estagiário,Estudante de Graduação,Outras Engenharias,Varejo,1,São Paulo (SP),1,0,1
21,,"[25,30]",,,,Menos de 1 ano,Outras,Mestrado,Química / Física,,1,,0,0,0
22,,"[18,24]",,,,Menos de 1 ano,Outras,Estudante de Graduação,Outras Engenharias,,1,São Paulo (SP),1,0,0
23,5000.0,"[25,30]",Outras,Média,não,Não tenho experiência na área de dados,Outras,Pós-graduação,Outras Engenharias,Outras,1,Paraná (PR),0,0,0
24,7000.0,"[41,50]",,Pequena,sim,de 6 a 10 anos,Outras,Pós-graduação,Outras,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
25,1000.0,"[41,50]",Outras,,não,Mais de 10 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),0,0,0
26,5000.0,"[41,50]",,Média,sim,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Varejo,1,Minas Gerais (MG),1,0,1
27,1500.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Grande,não,Não tenho experiência na área de dados,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
28,1500.0,"[18,24]",Analista de Negócios,,não,de 1 a 2 anos,Estagiário,Estudante de Graduação,Outras Engenharias,Outras,1,Minas Gerais (MG),1,0,0
29,18000.0,"[31,40]",Engenheiro de Dados,Média,não,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Telecomunicação,1,,0,0,0
30,,"[31,40]",,,,de 4 a 5 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,,1,Rio de Janeiro (RJ),1,0,1
31,3500.0,"[31,40]",Analista de Dados,,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Outras,1,Minas Gerais (MG),0,0,0
32,1000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Grande,não,Menos de 1 ano,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,Minas Gerais (MG),0,0,0
33,,"[18,24]",,,,Menos de 1 ano,Outras,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,,1,São Paulo (SP),0,0,0
34,7000.0,,Engenheiro de Dados,Pequena,não,Mais de 10 anos,Outras,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Seguros ou Previdência,1,,1,0,1
35,1000.0,"[31,40]",,,sim,de 2 a 3 anos,Outras,Pós-graduação,Outras Engenharias,Varejo,0,,1,1,1
36,5000.0,"[25,30]",Cientista de Dados,,não,de 2 a 3 anos,Outras,Graduação/Bacharelado,Outras Engenharias,Finanças ou Bancos,1,São Paulo (SP),1,1,1
37,,"[18,24]",,,,Não tenho experiência na área de dados,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,Espírito Santo (ES),0,0,0
38,3500.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Média,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
39,7000.0,"[18,24]",,Pequena,sim,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Paraná (PR),1,1,1
40,,"[18,24]",Analista de Dados,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Setor Público,1,,0,0,0
41,14000.0,"[31,40]",,Média,sim,de 6 a 10 anos,Outras,Doutorado ou Phd,Química / Física,Setor Público,1,,0,1,1
42,7000.0,"[18,24]",Outras,Pequena,não,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,Paraná (PR),0,0,0
43,1500.0,"[18,24]",Outras,Pequena,não,Menos de 1 ano,Outras,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Outras,1,,0,0,0
44,18000.0,"[31,40]",,Pequena,sim,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,1,1
45,1000.0,"[41,50]",Cientista de Dados,,não,Mais de 10 anos,Outras,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças,Varejo,1,Rio de Janeiro (RJ),1,1,1
46,1000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,,não,Não tenho experiência na área de dados,Outras,Mestrado,Outras Engenharias,Finanças ou Bancos,1,,0,0,0
47,7000.0,"[18,24]",Engenheiro de Dados,Média,não,de 2 a 3 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,0,1
48,3500.0,"[25,30]",Analista de Dados,Pequena,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Outras Engenharias,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
49,3500.0,"[41,50]",Outras,Média,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Outras Engenharias,Indústria (Manufatura),1,Paraná (PR),0,0,0
50,1000.0,"[25,30]",,Grande,sim,de 6 a 10 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,Minas Gerais (MG),1,0,1
51,,"[25,30]",,,,Menos de 1 ano,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,São Paulo (SP),0,0,0
52,3500.0,"[25,30]",Outras,,não,de 4 a 5 anos,Outras,Estudante de Graduação,Outras Engenharias,Setor Alimentício,1,São Paulo (SP),0,0,0
53,,"[31,40]",,,,Menos de 1 ano,Outras,Pós-graduação,Outras Engenharias,,1,São Paulo (SP),1,1,1
54,,"[18,24]",,,,Não tenho experiência na área de dados,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,Espírito Santo (ES),0,0,0
55,,"[25,30]",,,,Menos de 1 ano,Outras,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,,1,Rio de Janeiro (RJ),1,1,1
56,5000.0,"[18,24]",Engenheiro de Dados,Média,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,1,0,1
57,5000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Grande,não,de 1 a 2 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,,0,0,0
58,,"[31,40]",,,,Não tenho experiência na área de dados,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,Minas Gerais (MG),0,0,0
59,1000.0,"[31,40]",,Grande,sim,de 6 a 10 anos,Outras,Mestrado,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,1,1
60,,"[18,24]",Outras,Pequena,não,Não tenho experiência na área de dados,Outras,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Outras,1,São Paulo (SP),0,0,0
61,,"[31,40]",Outras,Média,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Outras,Educação,1,,0,0,0
62,,"[31,40]",Outras,Pequena,não,Menos de 1 ano,Outras,Pós-graduação,Outras,Educação,1,,0,0,0
63,5000.0,"[25,30]",Analista de BI,Grande,não,Menos de 1 ano,Outras,Pós-graduação,Outras,Indústria (Manufatura),1,,0,0,0
64,1000.0,"[25,30]",Cientista de Dados,,não,de 1 a 2 anos,Outras,Mestrado,Química / Física,Varejo,1,São Paulo (SP),1,1,1
65,14000.0,"[31,40]",,Pequena,sim,de 2 a 3 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Marketing,1,,1,0,1
66,,"[41,50]",,,,Não tenho experiência na área de dados,Outras,Doutorado ou Phd,Química / Física,,1,Minas Gerais (MG),0,0,0
67,,"[25,30]",Outras,Média,não,de 1 a 2 anos,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Minas Gerais (MG),1,0,1
68,,"[18,24]",,Pequena,sim,de 1 a 2 anos,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Área da Saúde,1,Minas Gerais (MG),1,0,1
69,14000.0,"[41,50]",,Grande,sim,de 1 a 2 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,1,São Paulo (SP),0,0,0
70,,"[18,24]",,,,de 1 a 2 anos,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,Minas Gerais (MG),0,0,0
71,5000.0,"[25,30]",,Média,sim,de 2 a 3 anos,Outras,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Marketing,1,Minas Gerais (MG),0,0,0
72,1000.0,"[41,50]",,Pequena,sim,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Paraná (PR),0,0,0
73,3500.0,"[25,30]",Outras,Grande,não,Menos de 1 ano,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Telecomunicação,1,Paraná (PR),0,0,0
74,,"[31,40]",Outras,Grande,não,Não tenho experiência na área de dados,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,1,São Paulo (SP),0,0,0
75,1000.0,"[31,40]",,Pequena,sim,de 1 a 2 anos,Empreendedor ou Empregado (CNPJ),Não tenho graduação formal,,Marketing,1,Rio de Janeiro (RJ),0,0,0
76,1500.0,"[18,24]",Analista de BI,Média,não,Menos de 1 ano,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
77,14000.0,"[31,40]",,,sim,de 6 a 10 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,São Paulo (SP),0,1,1
78,7000.0,"[25,30]",Outras,,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Varejo,1,São Paulo (SP),0,0,0
79,,"[25,30]",Outras,Pequena,não,Não tenho experiência na área de dados,Estagiário,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Tecnologia/Fábrica de Software,1,,0,0,0
80,1500.0,"[18,24]",Analista de BI,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,1,1
81,7000.0,"[25,30]",Cientista de Dados,,não,de 2 a 3 anos,Outras,Graduação/Bacharelado,Outras Engenharias,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,1,1
82,1000.0,"[31,40]",Outras,,não,de 2 a 3 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,,0,0,0
83,,"[25,30]",,Pequena,sim,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,,0,0,0
84,5000.0,"[25,30]",Cientista de Dados,Pequena,não,de 2 a 3 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),1,0,1
85,5000.0,"[31,40]",Outras,,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Finanças ou Bancos,1,,0,0,0
86,1000.0,"[25,30]",Cientista de Dados,Pequena,não,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Mestrado,Outras Engenharias,Tecnologia/Fábrica de Software,1,,1,0,1
87,,"[25,30]",,,,de 1 a 2 anos,Outras,Pós-graduação,Outras Engenharias,,1,Santa Catarina (SC),1,0,1
88,,"[41,50]",,,,de 2 a 3 anos,Outras,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,1,São Paulo (SP),0,0,0
89,1000.0,"[25,30]",Cientista de Dados,Pequena,não,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,Marketing,1,São Paulo (SP),1,1,1
90,3500.0,"[25,30]",Analista de Dados,Média,não,de 1 a 2 anos,Outras,Pós-graduação,Outras Engenharias,Indústria (Manufatura),1,Santa Catarina (SC),1,1,0
91,7000.0,"[31,40]",Outras,Grande,não,Menos de 1 ano,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,Minas Gerais (MG),0,0,0
92,5000.0,"[25,30]",Analista de BI,,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Outras Engenharias,Setor Farmaceutico,1,São Paulo (SP),0,0,1
93,,"[31,40]",,,,Menos de 1 ano,Outras,Pós-graduação,Estatística/ Matemática / Matemática Computacional,,1,,1,1,0
94,7000.0,"[31,40]",Analista de Dados,Grande,não,Mais de 10 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,1,Minas Gerais (MG),1,0,1
95,7000.0,"[31,40]",,Média,sim,de 1 a 2 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,0,0,0
96,7000.0,"[31,40]",Outras,Grande,não,de 6 a 10 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
97,1000.0,"[31,40]",,Grande,sim,de 4 a 5 anos,Outras,Pós-graduação,Outras Engenharias,Indústria (Manufatura),1,São Paulo (SP),0,0,0
98,5000.0,"[18,24]",Cientista de Dados,Média,não,de 1 a 2 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,1,0,1
99,,"[31,40]",,,,Menos de 1 ano,Outras,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,,1,Minas Gerais (MG),0,0,0
100,,"[31,40]",,,,Menos de 1 ano,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,São Paulo (SP),1,0,1
101,,,Engenheiro de Dados,Média,não,de 2 a 3 anos,Outras,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
102,7000.0,"[31,40]",Outras,Média,não,Mais de 10 anos,Outras,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,Minas Gerais (MG),1,0,1
103,7000.0,"[25,30]",Analista de Dados,,não,de 4 a 5 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,São Paulo (SP),1,1,1
104,3500.0,"[25,30]",Analista de BI,Média,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),1,0,1
105,14000.0,"[31,40]",,Pequena,sim,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),1,1,1
106,5000.0,"[31,40]",Analista de BI,Média,não,de 4 a 5 anos,Outras,Pós-graduação,Ciências Sociais,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
107,1000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Pequena,não,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),1,1,1
108,,"[18,24]",,,,Menos de 1 ano,Outras,Estudante de Graduação,Ciências Sociais,,1,Minas Gerais (MG),0,1,0
109,,"[25,30]",Outras,,não,Menos de 1 ano,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
110,14000.0,"[41,50]",,Média,sim,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Outras Engenharias,Marketing,1,São Paulo (SP),0,1,1
111,3500.0,"[25,30]",Cientista de Dados,Pequena,não,de 1 a 2 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),1,0,0
112,,"[31,40]",,,,de 1 a 2 anos,Outras,Graduação/Bacharelado,Outras Engenharias,,1,Rio de Janeiro (RJ),1,1,1
113,7000.0,"[31,40]",,,sim,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Seguros ou Previdência,1,São Paulo (SP),0,0,1
114,1500.0,"[18,24]",Outras,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,São Paulo (SP),0,0,0
115,5000.0,"[41,50]",Analista de BI,Média,não,Mais de 10 anos,Outras,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
116,7000.0,"[41,50]",Analista de BI,,não,de 1 a 2 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,Rio Grande do Sul (RS),1,1,1
117,,"[18,24]",,,,Menos de 1 ano,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,Rio Grande do Sul (RS),0,0,0
118,18000.0,"[41,50]",,Pequena,sim,Mais de 10 anos,Outras,Pós-graduação,Outras Engenharias,Finanças ou Bancos,1,São Paulo (SP),1,0,1
119,3500.0,"[18,24]",Cientista de Dados,,não,de 1 a 2 anos,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,1,1
120,7000.0,"[25,30]",Engenheiro de Dados,,não,de 2 a 3 anos,Outras,Pós-graduação,Outras,Entretenimento ou Esportes,1,Rio de Janeiro (RJ),1,0,1
121,1500.0,"[18,24]",Engenheiro de Dados,Pequena,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,0,0,0
122,22500.0,"[31,40]",Cientista de Dados,Média,não,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,1,,0,0,1
123,18000.0,"[31,40]",,Média,sim,Mais de 10 anos,Outras,Mestrado,Estatística/ Matemática / Matemática Computacional,Setor Público,1,,1,1,1
124,,"[31,40]",,,,Mais de 10 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,,1,São Paulo (SP),1,1,1
125,5000.0,"[25,30]",Analista de Negócios,,não,de 4 a 5 anos,Outras,Graduação/Bacharelado,Outras Engenharias,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
126,,"[18,24]",,,,Não tenho experiência na área de dados,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,1,,0,0,0
127,,"[25,30]",Cientista de Dados,Pequena,não,de 2 a 3 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,1,São Paulo (SP),0,0,1
128,5000.0,"[31,40]",Outras,,não,de 4 a 5 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,1,Rio de Janeiro (RJ),0,0,0
129,5000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Média,não,Não tenho experiência na área de dados,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,1,São Paulo (SP),0,0,0
130,3500.0,"[25,30]",Analista de BI,,não,de 1 a 2 anos,Outras,Pós-graduação,Outras Engenharias,Telecomunicação,1,Rio de Janeiro (RJ),0,0,0
131,7000.0,"[31,40]",Engenheiro de Dados,,não,de 2 a 3 anos,Outras,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Finanças ou Bancos,1,São Paulo (SP),1,0,1
132,14000.0,"[31,40]",Cientista de Dados,,não,de 2 a 3 anos,Outras,Pós-graduação,Química / Física,Varejo,1,Paraná (PR),1,0,1
133,1000.0,"[41,50]",,Pequena,sim,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Finanças ou Bancos,1,São Paulo (SP),0,0,0
134,1000.0,"[41,50]",Analista de BI,Grande,não,Mais de 10 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,0,,0,0,0
135,22500.0,"[31,40]",,Média,sim,Não tenho experiência na área de dados,Empreendedor ou Empregado (CNPJ),Pós-graduação,Outras,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
136,5000.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Grande,não,de 6 a 10 anos,Outras,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,Educação,0,,0,0,0
137,3500.0,"[31,40]",,Pequena,sim,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Educação,1,Minas Gerais (MG),0,0,0
138,1500.0,"[31,40]",Desenvolvedor/Engenheiro de Software,Pequena,não,Menos de 1 ano,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,0,0,0
139,1000.0,"[25,30]",Cientista de Dados,,não,de 2 a 3 anos,Outras,Mestrado,Outras Engenharias,Finanças ou Bancos,1,São Paulo (SP),1,1,1
140,3500.0,"[25,30]",Analista de Dados,Pequena,não,Menos de 1 ano,Outras,Mestrado,Outras Engenharias,Finanças ou Bancos,1,São Paulo (SP),1,0,1
141,1000.0,"[31,40]",,Pequena,sim,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,0,1
142,,"[41,50]",,,,Mais de 10 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,,1,Rio de Janeiro (RJ),0,0,1
143,,"[31,40]",Outras,Grande,não,Menos de 1 ano,Outras,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Varejo,1,Rio de Janeiro (RJ),0,0,0
144,5000.0,"[25,30]",Outras,Pequena,não,Não tenho experiência na área de dados,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
145,5000.0,"[25,30]",Analista de BI,Pequena,não,de 2 a 3 anos,Outras,Mestrado,Economia/ Administração / Contabilidade / Finanças,Marketing,1,Rio de Janeiro (RJ),0,1,1
146,3500.0,"[31,40]",Outras,Grande,não,Não tenho experiência na área de dados,Outras,Graduação/Bacharelado,Outras,Outras,1,Minas Gerais (MG),0,0,0
147,3500.0,"[25,30]",Analista de Dados,Grande,não,de 2 a 3 anos,Outras,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Varejo,1,Rio de Janeiro (RJ),0,1,1
148,1000.0,"[25,30]",Analista de Dados,,não,de 4 a 5 anos,Outras,Não tenho graduação formal,,Finanças ou Bancos,1,São Paulo (SP),1,0,1
